turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB
4,10068,9072,1308,2146,15,52.46,22.3
21,53352,48123,6867,2182,61,10.28,22.3
37,94344,85131,12099,2182,60,14.21,22.3
50,127650,115200,16350,2182,50,19.27,22.3
61,155832,140643,19947,2182,41,24.17,22.4
71,181452,163773,23217,2182,35,28.21,25.2
79,201948,182277,25833,2182,31,31.63,27.4
87,222444,200781,28449,2182,29,34.53,29.3
94,240378,216972,30738,2182,26,38.38,31.3
100,255750,230850,32700,2182,24,40.2,32.9
106,271392,244998,34662,2224,23,43.27,34.5
112,287034,259146,36624,2224,22,45.1,36.3
118,302676,273294,38586,2224,20,49.39,37.6
123,315711,285084,40221,2224,19,51.3,39.1
128,328746,296874,41856,2224,18,54.72,40.3
128,328746,296874,41856,2224,18,54.72,41.7
133,341781,308664,43491,2224,17,57.83,42.7
138,354816,320454,45126,2224,17,59.31,44.1
142,365244,329886,46434,2224,16,63.31,45.3
146,375672,339318,47742,2224,15,65.33,46.3
150,386100,348750,49050,2224,15,67.9,47.2
154,396528,358182,50358,2224,14,72.59,48.2
158,406956,367614,51666,2224,14,73.51,49.4
161,414777,374688,52647,2224,13,75.22,50.2
165,425205,384120,53955,2224,13,76.93,50.9
168,433026,391194,54936,2224,13,78.44,52
171,440847,398268,55917,2224,12,83.39,52.8
175,451275,407700,57225,2224,12,86.48,53.8
178,459096,414774,58206,2224,11,85.94,54.5
181,466917,421848,59187,2224,11,87.11,55.3
184,474738,428922,60168,2224,11,89.21,56.2
187,482559,435996,61149,2224,11,94.43,56.9
190,490380,443070,62130,2224,10,96.03,57.5
193,498201,450144,63111,2224,10,97.63,58.3
196,506022,457218,64092,2224,10,100.03,59.3
199,513843,464292,65073,2224,10,98.69,59.8
200,516450,466650,65400,2224,10,99.37,60.1
200,516450,466650,65400,2224,10,99.41,60.1
200,516450,466650,65400,2224,10,97.84,60.1
200,516450,466650,65400,2224,10,98.29,60.1